SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal,Cluster
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O,ligprep_CSK_2.sdf:5267,16788,Done,13.37,-9.05994,glide-grid_CSK,-9.05994,-0.996855,-0.518195,0,-3.21261,-35.0874,-20.1858,0.552591,-0.102632,-86.8926,-55.2732,11.7579,7
CC1(COc2ccc3c(c2)ncn3-c2ccc3cccc(N4CCC([NH3+])CC4)c3n2)COC1,ligprep_CSK_2.sdf:2450,8334,Done,9.61,-9.04965,glide-grid_CSK,-9.06615,-2.71183,-0.475844,0,-2.17888,-43.0127,-13.4516,0.506034,-0.0372523,-85.0371,-56.4642,5.71997,17
O=C(c1ccccc1)c1ccc2[nH]c(NC(=O)c3csc(C4CCN(c5ncnc6ccsc56)CC4)n3)nc2c1,ligprep_CSK_2.sdf:3175,10221,Done,3.72,-9.04868,glide-grid_CSK,-9.86328,-4.1237,-0.135444,0,-1.56698,-60.084,-8.03747,0.369994,-0.197324,-106.336,-68.1215,3.41995,8
CC(C)[C@H](NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@H](CO)NC(=O)[C@@H](N)Cc1c[nH]c[nH+]1)C(=O)N[C@@H](Cc1c[nH+]c[nH]1)C(=O)N[C@@H](CCCC[NH3+])C(N)=O,ligprep_CSK_2.sdf:3153,10150,Done,64.37,-9.04372,glide-grid_CSK,-10.6911,-1.82374,-1.34448,0,-1.18246,-52.997,-36.0877,0.722759,-0.413354,-137.47,-89.0847,29.0095,1
Nc1nn(O)c2ccccc2[n+]1=O,ligprep_CSK_2.sdf:5431,17239,Done,0.76,-9.02906,glide-grid_CSK,-9.02906,-1.37486,-0.737637,0,-4.33854,-22.8271,-9.57785,0,0,-56.11,-32.405,0.00473414,17
C[C@@H]1O[C@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1O,ligprep_CSK_2.sdf:20072,63303,Done,2.58,-9.02526,glide-grid_CSK,-9.02526,-1.10685,-0.291725,0,-4.19832,-27.5413,-14.9709,0.194342,0,-61.7941,-42.5122,3.21352,7
Cn1c(=O)c2cc3cc(F)ccc3nc2c2c(=O)n(-c3ccccc3)c(=O)n(-c3ccccc3)c21,ligprep_CSK_2.sdf:30939,81001,Done,1.74,-9.02271,glide-grid_CSK,-9.02271,-3.81469,-0.32,0,-1.99517,-50.8269,-3.58943,0.186912,0,-81.3763,-54.4163,1.63448,2
CSc1nc(SC)c2c3c(N)ncnc3n([C@H]3O[C@@H](CO)[C@H](O)[C@@H]3O)c2n1,ligprep_CSK_2.sdf:17254,58000,Done,6.27,-9.01851,glide-grid_CSK,-9.01851,-1.80158,-0.580234,0,-3.2056,-40.9543,-10.3138,0.163695,0,-78.391,-51.2682,1.01243,0
N[C@@H](Cc1c[nH]c[nH+]1)C(=O)N[C@@H](Cc1c[nH]c[nH+]1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc1c[nH]c[nH+]1)C(=O)[O-],ligprep_CSK_2.sdf:3454,11046,Done,86.34,-9.01299,glide-grid_CSK,-10.8537,-0.961073,-1.83362,0,-0.727548,-61.6606,-41.9656,0.436001,-0.684428,-179.219,-103.626,37.7897,3
CC(C)[C@H](NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@H](CO)NC(=O)[C@@H]([NH3+])Cc1cnc[nH]1)C(=O)N[C@@H](Cc1c[nH+]c[nH]1)C(=O)N[C@@H](CCCC[NH3+])C(N)=O,ligprep_CSK_2.sdf:3153,10143,Done,57.75,-9.00837,glide-grid_CSK,-10.1714,-2.22763,-1.12724,0,-0.848001,-43.4146,-33.1055,0.722759,-0.520531,-139.1,-76.5201,20.1977,1
Cc1cc(Nc2ncc3c(n2)N(C)C(=O)N(c2cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc2C)C3)n(C)n1,ligprep_CSK_2.sdf:1144,3596,Done,5.09,-9.00607,glide-grid_CSK,-9.00607,-2.7249,-0.496452,0,-2.15741,-55.485,-6.6538,0.238918,-0.093904,-86.9868,-62.1388,11.3252,17
N[C@@H](Cc1c[nH]c[nH+]1)C(=O)N[C@@H](Cc1c[nH]c[nH+]1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](Cc1c[nH]c[nH+]1)C(=O)N[C@@H](Cc1c[nH]c[nH+]1)C(=O)N[C@@H](Cc1c[nH]c[nH+]1)C(=O)[O-],ligprep_CSK_2.sdf:3454,11035,Done,64.15,-9.00232,glide-grid_CSK,-10.4505,-1.95616,-0.829171,0,-1.38303,-44.8956,-28.6087,0.432796,-0.470178,-132.342,-73.5043,19.7558,3
Cc1ccc(-c2c(C(=O)CF)n(CCCO)c3ncnc(N)c23)cc1,ligprep_CSK_2.sdf:1299,3992,Done,18.33,-9.00127,glide-grid_CSK,-9.00127,-2.2972,-0.602617,0,-3.54805,-38.1456,-8.08203,0.566185,0,-71.1864,-46.2277,2.95981,6
CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@@H]([NH3+])[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O,ligprep_CSK_2.sdf:14296,51607,Done,6.43,-8.98194,glide-grid_CSK,-9.01474,-3.11779,-0.513536,0,-1.05277,-53.1674,-11.9694,0.164234,-0.0410973,-99.0877,-65.1368,3.8662,13
CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(N)=[NH2+])NC(=O)[C@@H]([NH3+])CC(=O)[O-])C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)[O-],ligprep_CSK_2.sdf:3451,11024,Done,99.79,-8.97461,glide-grid_CSK,-9.74611,-1.49813,-1.26324,0,-0.383319,-55.2742,-30.0717,0.642373,-0.480085,-154.84,-85.3459,11.8864,14
Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1[C@H]1CC[N@H+](CC(=O)NCCNc2cccc3c2C(=O)N([C@H]2CCC(=O)NC2=O)C3=O)CC1,ligprep_CSK_2.sdf:571,1820,Done,17.43,-8.97387,glide-grid_CSK,-9.04757,-1.82286,-0.686477,0,-0.328654,-62.1874,-19.6028,0.176322,-0.336112,-111.26,-81.7902,30.5135,9
OC[C@H]1O[C@H](n2cnc3c(NCCc4ccccc4)ncnc32)[C@@H](O)[C@H]1O,ligprep_CSK_2.sdf:17636,58646,Done,16.71,-8.96461,glide-grid_CSK,-8.96461,-1.6572,-0.816037,0,-3.27329,-37.8899,-12.0893,0.489804,0,-76.4022,-49.9792,5.57476,19
CCCCN1Cc2c(n(CC(N)=O)c3cc(-c4ccccc4)nn3c2=O)C1=O,ligprep_CSK_2.sdf:34710,87468,Done,3.74,-8.95716,glide-grid_CSK,-8.95716,-3.19831,-0.32,0,-2.99554,-44.7068,-4.97825,0.538772,0,-75.4931,-49.6851,2.13149,17
C[C@@H]1O[C@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@@H]1O,ligprep_CSK_2.sdf:20070,63301,Done,2.48,-8.9532,glide-grid_CSK,-8.9532,-0.975717,-0.387078,0,-4.25198,-27.5531,-14.3674,0.194342,0,-60.5336,-41.9205,3.51193,7
O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,ligprep_CSK_2.sdf:4222,13520,Done,3.1,-8.94539,glide-grid_CSK,-9.21479,-2.58155,-0.96,0,-1.84839,-32.1446,-16.1276,0.20153,0,-71.2474,-48.2723,5.52915,12
CSc1nc(SC)c2c3c(N)ncnc3n([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,ligprep_CSK_2.sdf:17261,58007,Done,6.61,-8.94101,glide-grid_CSK,-8.94101,-1.55983,-0.475568,0,-3.12401,-40.6845,-12.7405,0.163695,0,-77.0382,-53.425,6.75548,0
O=c1[nH]cnc2c1ncn2[C@@H]1C[C@@H](O)[C@H](COP(=O)([O-])OP(=O)([O-])[O-])O1,ligprep_CSK_2.sdf:14351,51712,Done,13.92,-8.93956,glide-grid_CSK,-9.04216,-1.15986,-0.514032,0,-2.75946,-32.9113,-22.9031,0.588008,-0.11578,-96.9957,-55.8144,6.58559,10
CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(N)=[NH2+])NC(=O)[C@@H]([NH3+])CC(=O)[O-])C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](C)C(=O)[O-],ligprep_CSK_2.sdf:3507,11238,Done,92.93,-8.93884,glide-grid_CSK,-9.58504,-1.99255,-1.01744,0,0.0121922,-50.3831,-32.7077,0.592494,-0.660572,-145.874,-83.0909,22.3431,14
C[C@H]1NC(=O)[C@H]([NH3+])CNC(=O)[C@@H]([C@H]2CCNC(N)=[NH+]2)NC(=O)/C(=C\NC(N)=O)NC(=O)[C@@H](CNC(=O)C[C@H]([NH3+])CCC[NH3+])NC1=O,ligprep_CSK_2.sdf:2838,9220,Done,17.47,-8.93786,glide-grid_CSK,-9.45266,-0.858394,-0.792324,0,-1.36243,-44.2956,-28.2894,0.202401,-0.427135,-110.69,-72.5849,18.6347,12
CC(C)[C@H](NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@H](CO)NC(=O)[C@@H]([NH3+])Cc1cnc[nH]1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCC[NH3+])C(N)=O,ligprep_CSK_2.sdf:3150,10101,Done,62.02,-8.92928,glide-grid_CSK,-10.3552,-1.52923,-1.63567,0,-0.452701,-58.8985,-36.2952,0.725489,-0.518135,-169.47,-95.1938,26.5733,1
CCCCN1Cc2c(n(CC(=O)c3ccc(C#N)cc3)c3cc(-c4ccccc4)nn3c2=O)C1=O,ligprep_CSK_2.sdf:38699,95193,Done,3.02,-8.92554,glide-grid_CSK,-8.92554,-3.38329,-0.32,0,-2.50798,-53.5009,-3.98432,0.558418,0,-81.3182,-57.4852,7.45433,17
O=c1[nH]cnc2c1ncn2[C@H]1C[C@@H](O)[C@H](COP(=O)([O-])OP(=O)([O-])[O-])O1,ligprep_CSK_2.sdf:14350,51710,Done,13.66,-8.92501,glide-grid_CSK,-9.02761,-0.739323,-1.21444,0,-2.45419,-29.424,-22.9538,0.411606,-0.116987,-93.5475,-52.3778,4.2392,10
COCC[NH2+]CCc1cccc(Nc2ncc3c(n2)-c2ccccc2[C@H](c2ccccc2F)C3)c1,ligprep_CSK_2.sdf:1515,4616,Done,6.81,-8.92436,glide-grid_CSK,-8.92736,-3.43273,-0.645971,0,-1.76193,-44.3523,-8.58154,0.512981,-0.0948636,-81.9014,-52.9338,9.95187,17
CNc1nc(N[C@H]2CC[N@@H+](Cc3ccc4c(cc(C#N)n4CC45CC(NC=O)(C4)C5)c3C)CC2)c2cc(CC(F)(F)F)sc2n1,ligprep_CSK_2.sdf:1047,3364,Done,10.39,-8.91998,glide-grid_CSK,-9.06018,-2.35288,-0.601005,0,-1.86643,-51.0707,-12.0466,0.273133,-0.152474,-93.0259,-63.1174,9.63846,17
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@@H](O)[C@@H](O)[C@@H](O)C=O)[C@@H](O)[C@H]1O,ligprep_CSK_2.sdf:4979,16091,Done,42.66,-8.9182,glide-grid_CSK,-8.9182,-0.980678,-0.763513,0,-1.52108,-44.2007,-28.1481,0.659062,-0.101955,-117.389,-72.3488,16.6542,7
CC(C)[C@H](NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@H](CO)NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)N[C@@H](Cc1c[nH]c[nH+]1)C(=O)N[C@@H](CCCC[NH3+])C(N)=O,ligprep_CSK_2.sdf:3150,10100,Done,73.48,-8.91428,glide-grid_CSK,-10.2872,-0.921664,-1.55679,0,-1.00678,-53.6818,-37.6453,0.507842,-0.625702,-167.008,-91.3271,25.5116,1
Cc1ccc(-c2c(C(=O)CCl)n(CCCO)c3ncnc(N)c23)cc1,ligprep_CSK_2.sdf:282,982,Done,17.64,-8.90225,glide-grid_CSK,-8.90225,-2.1557,-0.725162,0,-3.19792,-38.1936,-9.56431,0.520848,0,-73.3725,-47.7579,2.21024,6
NC(=O)c1ccc2nc3ccsc3c(=O)n2c1,ligprep_CSK_2.sdf:26239,73524,Done,0.8,-8.88392,glide-grid_CSK,-8.88392,-2.17376,-0.608,0,-3.25466,-30.9255,-8.58467,0,-0.013518,-59.339,-39.5101,2.0525,16
CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,ligprep_CSK_2.sdf:5327,16969,Done,3.82,-8.87373,glide-grid_CSK,-8.87823,-3.45423,-0.648264,0,-1.66073,-38.5026,-10.7778,0.456101,-0.0293109,-75.4748,-49.2804,4.96151,12
CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(N)=[NH2+])NC(=O)[C@@H](N)CC(=O)[O-])C(C)C)C(=O)N[C@@H](Cc1c[nH+]c[nH]1)C(=O)N[C@H](C)C(=O)[O-],ligprep_CSK_2.sdf:3507,11240,Done,113.28,-8.86859,glide-grid_CSK,-11.4099,-1.8283,-1.36683,0,-1.45664,-63.8621,-23.0346,0.414746,-0.524569,-162.603,-86.8966,22.4596,14
O=c1c2cc3c(=O)n(CCO)c(=O)c3cc2c(=O)n1CCO,ligprep_CSK_2.sdf:25087,71575,Done,2.92,-8.85785,glide-grid_CSK,-8.85785,-2.39324,-1.23087,0,-2.22741,-29.9535,-15.3687,0.796771,-0.000118242,-62.7758,-45.3222,15.4354,17
NC(=[NH2+])NCCC[C@H](N)C(=O)[N-]S(=O)(=O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,ligprep_CSK_2.sdf:5160,16549,Done,25.9,-8.85139,glide-grid_CSK,-10.7143,-1.31069,-0.95638,0,-3.04564,-38.9043,-24.8428,0.679739,-0.409687,-113.956,-63.747,9.76867,7
Cn1c2ccccc2n2c(=O)cc(-c3ccccc3)c(C#N)c12,ligprep_CSK_2.sdf:26537,73999,Done,0.99,-8.84615,glide-grid_CSK,-8.84615,-3.05103,-0.32,0,-3.16624,-35.6606,-4.87214,0.204972,0,-61.9025,-40.5328,0.672023,17
COc1cccc(Nc2ncnn3ccc(CN4CC[C@@H]([NH3+])[C@H](O)C4)c23)c1,ligprep_CSK_2.sdf:2382,8031,Done,13.25,-8.83457,glide-grid_CSK,-9.17147,-1.99889,-1.26721,0,-2.48424,-35.7164,-14.0025,0.565068,-0.1,-80.3389,-49.7189,4.5974,19
O=C1NCC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@H]12,ligprep_CSK_2.sdf:4443,14147,Done,1.09,-8.8321,glide-grid_CSK,-8.8321,-2.9462,-0.503026,0,-2.43923,-39.6725,-7.31544,0.137297,0,-67.3128,-46.9879,1.67466,12
CC[C@]1(O)C[C@@H](O[C@H]2C[C@@H]([NH+](C)C)[C@H](O[C@@H]3C[C@H](O)[C@H](O[C@@H]4CCC(=O)[C@H](C)O4)[C@H](C)O3)[C@H](C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)[C@H]1C(=O)OC,ligprep_CSK_2.sdf:12940,49094,Done,19.83,-8.8109,glide-grid_CSK,-8.8951,-2.30646,-0.375113,0,-0.686168,-51.1742,-19.0964,0.0245141,-0.128696,-96.6426,-70.2707,17.4436,5
C[C@H]1O[C@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1O,ligprep_CSK_2.sdf:20071,63302,Done,2.57,-8.80875,glide-grid_CSK,-8.80875,-0.954965,-0.291656,0,-4.13878,-28.7625,-14.5304,0.194342,0,-62.711,-43.2929,4.17118,7
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CC[NH+](CCCCNC(=O)COc5cccc6c5C(=O)N([C@@H]5CCC(=O)NC5=O)C6=O)CC4)c[nH+]3)nc2n(C2CCCC2)c1=O,ligprep_CSK_2.sdf:2986,9586,Done,22.35,-8.80831,glide-grid_CSK,-9.57521,-2.88891,-0.456,0,-1.20772,-61.106,-13.4429,0.229175,-0.180014,-113.202,-74.549,12.398,9
CC[C@@H](CO)Nc1nc2c([nH]1)c(=O)n(C)c(=O)n2C,ligprep_CSK_2.sdf:25138,71667,Done,3.12,-8.80389,glide-grid_CSK,-8.81059,-1.63773,-0.864,0,-3.73897,-32.953,-10.9583,0.748706,-0.0272019,-65.9911,-43.9113,2.22439,17
CSc1nc(SC)c2c3c(N)ncnc3n([C@H]3O[C@@H](CO)[C@@H](O)[C@@H]3O)c2n1,ligprep_CSK_2.sdf:17250,57996,Done,7,-8.79023,glide-grid_CSK,-8.79023,-1.59355,-0.581056,0,-3.18946,-41.0351,-10.254,0.163695,0,-77.2951,-51.2892,1.02819,0
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(N)=O,ligprep_CSK_2.sdf:3134,10047,Done,31.06,-8.78604,glide-grid_CSK,-9.51194,-2.59563,-1.30151,0,-0.181674,-47.9762,-25.2685,1.0059,-0.24994,-116.787,-73.2448,6.14166,15
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CC[NH+](CCCCNC(=O)COc5cccc6c5C(=O)N([C@@H]5CCC(=O)NC5=O)C6=O)CC4)cn3)nc2n(C2CCCC2)c1=O,ligprep_CSK_2.sdf:2986,9587,Done,24.47,-8.78596,glide-grid_CSK,-9.56956,-2.01845,-0.708574,0,-1.42095,-56.0829,-16.3257,0.230333,-0.398904,-117.564,-72.4087,9.45015,9
C[S@+](CC[C@@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@H]1O,ligprep_CSK_2.sdf:15779,54557,Done,10.46,-8.782,glide-grid_CSK,-8.7953,-1.2124,-0.331741,0,-3.35782,-29.4666,-19.1363,0.515784,-0.0653444,-81.1713,-48.6029,14.6832,7
C/C(=C\CNc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O)CO,ligprep_CSK_2.sdf:4732,15071,Done,21.37,-8.77936,glide-grid_CSK,-8.77936,-1.2727,-0.593364,0,-3.25702,-33.0342,-19.5433,0.92693,0,-78.6093,-52.5775,3.65212,19
CC(C)(O)c1ccc2c(c1)ncn2-c1cccc(-c2ccccc2C#N)c1,ligprep_CSK_2.sdf:4725,15059,Done,3.46,-8.77706,glide-grid_CSK,-8.80716,-2.75121,-0.684048,0,-2.5543,-39.3262,-8.16549,0.458673,-0.0851315,-70.8893,-47.4917,2.92591,17
c1cc(Nc2cc(C3CC3)[nH]n2)nc(Nc2ccc3nc[nH]c3c2)n1,ligprep_CSK_2.sdf:2011,6885,Done,4.16,-8.77478,glide-grid_CSK,-9.12428,-2.79605,-0.815717,0,-2.37821,-40.1058,-11.1009,0.596725,-0.0605955,-76.9402,-51.2067,4.10045,8
[NH3+]CCNC(=O)Cc1ccc(NC(=O)Cc2ccc(Nc3ncnc4c3ncn4[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)cc2)cc1,ligprep_CSK_2.sdf:3015,9689,Done,20.72,-8.76777,glide-grid_CSK,-8.76777,-2.19202,-0.275735,0,-0.940264,-47.7805,-21.6287,0.457795,-0.18422,-111.033,-69.4091,18.3461,19
CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@@H]([NH3+])[C@H](O)[C@@H](C)O2)C1)C(=O)c1ccccc1C3=O,ligprep_CSK_2.sdf:14297,51609,Done,6.28,-8.7646,glide-grid_CSK,-8.7974,-3.02695,-0.259796,0,-1.30701,-52.1559,-11.414,0.164234,-0.0479832,-100.723,-63.5699,4.72502,13
